25
白鹿原	陈忠实	0000000000010	文学	江西	20	1	20210003
朝花夕拾	鲁迅	0000000000019	文学	四川	41	0	00000000
传习录	王阳明	0000000000021	哲学	凤凰	51	0	00000000
诡秘之主	乌贼	0000000000025	玄幻	江西	66	1	20210001
红楼梦	曹雪芹	0000000000014	文学	凤凰	84	0	00000000
狂人日记	鲁迅	0000000000016	文学	四川	55	0	00000000
亮剑	都梁	0000000000013	文学	四川	52	0	00000000
毛泽东传	中共	0000000000023	传记	凤凰	21	1	20210001
呐喊	鲁迅	0000000000017	文学	四川	42	0	00000000
三体	刘慈欣	0000000000011	科幻	四川	51	0	00000000
生死疲劳	莫言	0000000000012	文学	凤凰	24	0	00000000
史记1	司马迁	0000000000001	历史	高等教育	46	0	00000000
史记2	司马迁	0000000000002	历史	高等教育	45	0	00000000
史记3	司马迁	0000000000003	历史	高等教育	45	1	20210002
史记4	司马迁	0000000000004	历史	高等教育	45	0	00000000
史记5	司马迁	0000000000005	历史	高等教育	45	0	00000000
史记6	司马迁	0000000000006	历史	高等教育	45	0	00000000
史记7	司马迁	0000000000007	历史	高等教育	45	0	00000000
四世同堂	老舍	0000000000015	文学	四川	41	0	00000000
我们仨	杨绛	0000000000022	传记	凤凰	66	0	00000000
野草	鲁迅	0000000000020	文学	四川	66	0	00000000
资治通鉴	司马光	0000000000009	历史	江西	15	1	20210002
紫川	老猪	0000000000024	玄幻	江西	22	1	20210001
彷徨	鲁迅	0000000000018	文学	四川	41.5	0	00000000
狄准	张三	0000000000030	文学	凤凰	15.6	0	00000000
